标的,变体,收益%,回撤%,Calmar,Sharpe,交易数
天孚通信,V9 满仓+20%追踪+MA20/60回补,166.95458911927204,-53.17997638972671,1.0540600551726367,0.9923274840562613,10
天孚通信,V10 满仓+25%追踪+回补需高于MA20 5%,239.41319478010706,-50.41328167544128,1.4678422171682675,1.1789961944785898,4
北方华创,V0 买入持有,178.3364257482328,-32.15614207272209,1.835920537944419,1.2209096218172215,1
北方华创,V1 MA20/60 买5%卖5%,34.89758448346964,-32.98744687248666,0.440498517004789,0.5231195285182711,8
北方华创,V2 MA20/60 买0%卖5%,51.18126287781286,-26.836678973054127,0.7676877647939582,0.674386455452665,10
北方华创,V3 MA20/60 买0%卖8%,97.23092824114362,-26.54231780393137,1.3581514009849387,1.0068668263026488,5
北方华创,V5 分级(满/半/空),33.971618973121394,-28.34641079300543,0.5000256072067119,0.5092204880878086,8
北方华创,V6 满仓+25%追踪(无条件回补),179.48241176780084,-31.87681063958604,1.8613080952225136,1.2294071137192752,2
北方华创,V7 满仓+25%追踪+MA20回补,158.70530939441164,-33.63204291002388,1.6011655599841934,1.1792604724666076,2
北方华创,V8 满仓+25%追踪+MA20/60回补,132.96799995910646,-33.631671930536356,1.3889969020874504,1.121713910137087,2
北方华创,V9 满仓+20%追踪+MA20/60回补,126.78844088914833,-30.901130298467006,1.454234147061548,1.0997212494375046,3
北方华创,V10 满仓+25%追踪+回补需高于MA20 5%,121.97346381048763,-36.763814466039925,1.1841697580510102,1.0671808211231506,2
寒武纪,V0 买入持有,766.0080947448702,-39.26545425236699,4.228233551749655,1.6530058313227587,1
寒武纪,V1 MA20/60 买5%卖5%,147.0540767867842,-29.890658050285367,1.6951929994433654,0.9922942044924437,7
寒武纪,V2 MA20/60 买0%卖5%,224.7775440962358,-32.76365738067949,2.153518499252277,1.184346723468843,8
寒武纪,V3 MA20/60 买0%卖8%,206.74315588066295,-38.496929980175054,1.7195536955480641,1.1321249430535743,7
寒武纪,V5 分级(满/半/空),154.0499750993536,-38.73200846067731,1.357777530071404,0.9807123705606858,14
寒武纪,V6 满仓+25%追踪(无条件回补),798.8073072228028,-42.59779657601042,4.003579619378678,1.6784234367939685,6
寒武纪,V7 满仓+25%追踪+MA20回补,540.4589758701878,-41.66454792240092,3.168725922489713,1.5024545638867957,5
寒武纪,V8 满仓+25%追踪+MA20/60回补,411.5345700313744,-31.603689698404057,3.466382661322248,1.433817407887747,3
寒武纪,V9 满仓+20%追踪+MA20/60回补,393.06798509166765,-33.18048592169447,3.1972806809947314,1.4210059920682985,5
寒武纪,V10 满仓+25%追踪+回补需高于MA20 5%,371.89946460071803,-31.604285709135972,3.2283291772779137,1.3774000846919516,3
沪电股份,V0 买入持有,293.2672864966315,-45.272805849750476,1.8998015554022585,1.277763992043815,1
沪电股份,V1 MA20/60 买5%卖5%,65.67636094713359,-46.72189736685044,0.5503222635207164,0.7036700409496499,7
沪电股份,V2 MA20/60 买0%卖5%,57.278272027533546,-43.82498496965888,0.5198593024061796,0.6419175543179282,11
沪电股份,V3 MA20/60 买0%卖8%,81.37792541303774,-38.805039758965286,0.7983122263060817,0.7748446734338063,8
沪电股份,V5 分级(满/半/空),16.322676559201543,-45.11163553583221,0.1572347417881688,0.32753898536547743,16
沪电股份,V6 满仓+25%追踪(无条件回补),195.2754836443984,-54.46542927048124,1.1631611387185192,1.0688543263781247,5
沪电股份,V7 满仓+25%追踪+MA20回补,107.05364003480042,-57.610841181430374,0.6783217530068606,0.819081099562865,5
沪电股份,V8 满仓+25%追踪+MA20/60回补,159.04192298923374,-31.25865959505888,1.7256391432193927,1.051998631919705,2
沪电股份,V9 满仓+20%追踪+MA20/60回补,149.12569808305497,-28.54699232568777,1.7949966169170846,1.0391071627643234,3
沪电股份,V10 满仓+25%追踪+回补需高于MA20 5%,146.7398972956297,-31.25865959505888,1.618225501776588,1.0102621317286427,2
生益科技,V0 买入持有,663.7336430435845,-46.53836872234619,3.250954308780473,1.7729272596941419,1
生益科技,V1 MA20/60 买5%卖5%,432.51076799896293,-24.55241454469205,4.6187861111324,1.8826756465429328,5
生益科技,V2 MA20/60 买0%卖5%,445.49640048028715,-26.22652525486725,4.413297224817475,1.8639468171988127,7
生益科技,V3 MA20/60 买0%卖8%,354.2601298222583,-41.697352130384736,2.363954514667959,1.6407776573769073,6
生益科技,V5 分级(满/半/空),267.48476061469785,-28.651156223200967,2.8054602477685426,1.4755058133238363,10
生益科技,V6 满仓+25%追踪(无条件回补),745.2224743264031,-48.53995785030333,3.3603317552736596,1.8633266941826185,6
生益科技,V7 满仓+25%追踪+MA20回补,650.4175637110229,-31.015459099751254,4.813687465250025,1.8779561337325612,5
生益科技,V8 满仓+25%追踪+MA20/60回补,377.65009628735,-31.167365869822373,3.3092688471902756,1.6117654990795287,3
生益科技,V9 满仓+20%追踪+MA20/60回补,429.7008220144141,-27.41436182099938,4.117959510597236,1.7468596708836153,4
生益科技,V10 满仓+25%追踪+回补需高于MA20 5%,342.57915640010106,-32.94484782482026,2.9212421872459338,1.5476111897386913,3
工业富联,V0 买入持有,185.79194226222313,-45.27698646768159,1.3462234112214142,1.0767590288288498,1
工业富联,V1 MA20/60 买5%卖5%,117.84067240862082,-30.075220016865035,1.4070436551997618,1.0943639357786559,6
工业富联,V2 MA20/60 买0%卖5%,152.51362537037429,-25.40463526862119,2.053582774558085,1.2588462174606272,6
工业富联,V3 MA20/60 买0%卖8%,156.50693455409507,-26.94745473384771,1.9763106476357974,1.2302868591018847,4
工业富联,V5 分级(满/半/空),67.48769428510322,-32.75096006149011,0.8040430222958938,0.7597028820031156,11
工业富联,V6 满仓+25%追踪(无条件回补),245.45921040499334,-41.93421897346663,1.797976910308116,1.2255712164873287,7
