标的,变体,窗口,收益%,回撤%,Sharpe,Calmar,交易数
北方华创,F4 B1+B2+两融gate,25-01~26-09,20.15986637878502,-30.747488514596544,0.4383562255137646,0.3866448280483075,10
北方华创,F4 B1+B2+两融gate,2026,9.532070756362554,-30.74657837046535,0.4878601714494028,0.47293083395909974,7
寒武纪,F0 现配置(A|B1|B2|B3|C),25-01~26-09,73.53653562134177,-35.37541024927422,0.842958576775348,1.1334229784275056,34
寒武纪,F0 现配置(A|B1|B2|B3|C),2026,45.603010770092986,-21.84615946711217,1.295838803808508,3.438065135805771,16
寒武纪,F1 砍掉B3(A|B1|B2|C),25-01~26-09,73.53653562134177,-35.37541024927422,0.842958576775348,1.1334229784275056,34
寒武纪,F1 砍掉B3(A|B1|B2|C),2026,45.603010770092986,-21.84615946711217,1.295838803808508,3.438065135805771,16
寒武纪,F2 只留B1+B2,25-01~26-09,58.282903971408786,-36.87615611800938,0.7415951038068558,0.8794096279001268,28
寒武纪,F2 只留B1+B2,2026,34.78467215698999,-21.848281620695776,1.0758945061171838,2.566181159590904,13
寒武纪,F3 现配置+两融gate,25-01~26-09,58.23067168976128,-35.53106102197332,0.7421911309588318,0.9119489961687788,21
寒武纪,F3 现配置+两融gate,2026,37.517244886434156,-19.045610251214573,1.1464196793934687,3.192758104047255,8
寒武纪,F4 B1+B2+两融gate,25-01~26-09,61.06993609780022,-35.353607302847365,0.7633811611535152,0.9574880971866867,18
寒武纪,F4 B1+B2+两融gate,2026,30.4903906637656,-19.05125096634207,0.9934596717754361,2.556819447016881,6
沪电股份,F0 现配置(A|B1|B2|B3|C),25-01~26-09,112.12782700870517,-41.45001402130296,1.1246648582089398,1.409000116910141,30
沪电股份,F0 现配置(A|B1|B2|B3|C),2026,30.298392391370555,-26.126212069121244,0.9658047442514026,1.8519507792876717,15
沪电股份,F1 砍掉B3(A|B1|B2|C),25-01~26-09,112.12782700870517,-41.45001402130296,1.1246648582089398,1.409000116910141,30
