收益%,回撤%,Sharpe,Calmar,交易数,在场%,标的,变体,ATR%中位
67.74497486569797,-37.98254395387743,0.7121361540767163,0.695611657885803,22,96.0431654676259,北方华创,满仓+2.5xATR追踪,3.699219604045731
766.0080947448702,-39.26545425236699,1.6530058313227587,4.228233551749655,1,99.82014388489209,寒武纪,买入持有,5.98454247570917
147.0540767867842,-29.890658050285367,0.9922942044924437,1.6951929994433654,7,35.79136690647482,寒武纪,FIX 买带5/卖带5,5.98454247570917
141.3693964690664,-31.505931845639957,0.9746375983337553,1.558090699166489,8,35.61151079136691,寒武纪,FIX 买带5/卖带5+追踪18%,5.98454247570917
146.11614070025237,-34.86939164922974,0.9736688676791146,1.4457064658624512,9,36.69064748201439,寒武纪,ATR k=0.6 无追踪,5.98454247570917
119.56390863669068,-37.07796260638404,0.887123284487572,1.1550339426501728,13,33.63309352517986,寒武纪,ATR k=0.6 追踪2.0xATR,5.98454247570917
127.67671778615654,-41.62376579288885,0.9437974133164951,1.0857859582411067,11,32.014388489208635,寒武纪,ATR k=1.0 追踪2.0xATR,5.98454247570917
124.92165298715814,-32.90330893492401,0.9195342989002412,1.3492724055957008,16,31.83453237410072,寒武纪,ATR k=0.4 追踪1.5xATR,5.98454247570917
798.8073072228028,-42.59779657601042,1.6784234367939685,4.003579619378678,6,98.92086330935251,寒武纪,满仓+25%追踪(无趋势过滤),5.98454247570917
854.6345674411731,-35.09071265638533,1.726722985049264,5.073553452626298,17,96.94244604316546,寒武纪,满仓+2.5xATR追踪,5.98454247570917
293.2672864966315,-45.272805849750476,1.277763992043815,1.8998015554022585,1,99.82014388489209,沪电股份,买入持有,4.997628489800526
65.67636094713359,-46.72189736685044,0.7036700409496499,0.5503222635207164,7,41.36690647482014,沪电股份,FIX 买带5/卖带5,4.997628489800526
65.67636094713359,-46.72189736685044,0.7036700409496499,0.5503222635207164,7,41.36690647482014,沪电股份,FIX 买带5/卖带5+追踪18%,4.997628489800526
