date,open,high,low,close,volume,amount,turnover
2024-10-30,3.93,4.01,3.91,3.98,38468230.0,152169265.0,0.0659994137465728
2024-10-31,4.02,4.1,3.98,4.08,56166205.0,227863283.0,0.09636358632486666
2024-11-01,4.07,4.07,3.84,3.85,53524359.0,210283155.0,0.0918310074355149
2024-11-04,3.85,3.95,3.84,3.94,25691388.0,100286456.0,0.04407836145140381
2024-11-05,3.92,4.08,3.91,4.06,48044428.0,193573479.0,0.08242916510038094
2024-11-06,4.06,4.25,4.03,4.14,75365901.0,310904078.0,0.12930424099269044
2024-11-07,4.1,4.38,4.08,4.35,89131260.0,379394499.0,0.15292127832482424
2024-11-08,4.48,4.48,4.26,4.28,74646951.0,324131947.0,0.1280707483543991
2024-11-11,4.25,4.32,4.2,4.32,47886643.0,204661572.0,0.08215845554348157
2024-11-12,4.32,4.34,4.14,4.19,47152294.0,199435962.0,0.08089854305243682
2024-11-13,4.16,4.32,4.15,4.25,44940008.0,190131914.0,0.07710295435392509
2024-11-14,4.22,4.27,4.07,4.08,37860146.0,157297334.0,0.06495613238143925
2024-11-15,4.09,4.13,3.97,3.99,28992550.0,117653294.0,0.049742119744480034
2024-11-18,4.0,4.05,3.89,3.91,28608372.0,113210528.0,0.04908299082759639
2024-11-19,3.93,4.21,3.91,4.2,74035722.0,303847582.0,0.12702207115597058
2024-11-20,4.14,4.2,4.1,4.18,47153677.0,195622658.0,0.08090091584653761
2024-11-21,4.16,4.2,4.11,4.17,33358895.0,138575927.0,0.05723339787750771
2024-11-22,4.18,4.29,3.97,3.98,46156691.0,190114652.0,0.07919040066261725
2024-11-25,4.0,4.04,3.91,4.04,25657098.0,101845802.0,0.04401953056946902
2024-11-26,4.0,4.05,3.95,3.95,21521970.0,85953025.0,0.03692494826695503
2024-11-27,3.93,4.0,3.84,4.0,24295725.0,95037103.0,0.0416838416154825
2024-11-28,4.0,4.14,3.99,4.09,40197405.0,165113837.0,0.06896613553921128
2024-11-29,4.06,4.1,3.97,4.09,35139813.0,142299873.0,0.06028889442441717
2024-12-02,4.08,4.24,4.06,4.2,47681069.0,199495154.0,0.08180575505579243
2024-12-03,4.2,4.22,4.12,4.17,29927651.0,124478432.0,0.05134645968405702
