date,open,high,low,close,volume
2024-12-13,4763.727,4777.592,4697.177,4697.177,2172982458
2024-12-16,4702.143,4711.645,4632.76,4651.46,2556261762
2024-12-17,4633.81,4688.189,4621.314,4625.452,1817901617
2024-12-18,4635.21,4670.567,4605.901,4644.528,1802987247
2024-12-19,4599.946,4672.595,4588.754,4660.237,2059242827
2024-12-20,4650.537,4698.352,4640.47,4647.123,1872763399
2024-12-23,4637.398,4660.101,4593.995,4593.995,1772443996
2024-12-24,4601.642,4662.188,4601.642,4658.41,1430905342
2024-12-25,4664.747,4665.344,4605.758,4628.018,1388523052
2024-12-26,4622.871,4665.148,4610.065,4646.072,1517697728
2024-12-27,4642.393,4685.541,4618.512,4640.028,1566465471
2024-12-30,4625.216,4680.915,4625.216,4636.376,1454343179
2024-12-31,4630.04,4641.265,4537.014,4537.014,1717139975
2025-01-02,4534.62,4535.911,4339.888,4377.685,1595182004
2025-01-03,4382.642,4398.678,4298.292,4302.459,1351389010
2025-01-06,4315.854,4344.163,4272.276,4300.945,1055212413
2025-01-07,4274.493,4329.213,4259.826,4328.506,1189275494
2025-01-08,4301.37,4343.865,4214.677,4303.614,1365758655
2025-01-09,4277.521,4325.821,4277.2,4294.695,1141082304
2025-01-10,4286.578,4333.551,4238.812,4238.812,1176346100
2025-01-13,4205.009,4274.026,4203.6,4239.639,920325536
2025-01-14,4246.687,4423.411,4219.185,4415.885,1701505700
2025-01-15,4398.545,4398.545,4336.631,4347.293,1314530524
2025-01-16,4371.152,4430.591,4324.087,4363.377,1342970270
2025-01-17,4347.98,4452.543,4347.959,4419.457,1232059978
2025-01-20,4457.432,4516.733,4457.432,4490.079,1332015397
2025-01-21,4525.32,4525.32,4465.948,4519.328,1470180226
2025-01-22,4504.651,4511.255,4442.883,4473.227,1440610598
2025-01-23,4515.797,4555.858,4481.62,4481.768,1713934155
2025-01-24,4459.262,4553.15,4458.13,4542.13,1929083759
2025-01-27,4542.972,4545.157,4446.429,4446.434,1430701780
2025-02-05,4490.891,4499.312,4442.659,4470.748,1968446143
2025-02-06,4463.967,4600.357,4456.192,4593.87,2337759575
2025-02-07,4612.575,4745.901,4593.944,4698.024,2818919207
2025-02-10,4705.194,4718.699,4652.86,4710.539,2379632558
2025-02-11,4710.889,4710.889,4660.895,4669.737,2135126879
2025-02-12,4647.819,4746.881,4630.957,4742.297,2102319961
2025-02-13,4730.845,4745.904,4688.243,4691.11,2318750141
2025-02-14,4679.619,4788.53,4679.619,4776.109,2332851182
2025-02-17,4820.504,4842.192,4762.045,4802.902,2724050668
2025-02-18,4794.002,4818.288,4704.679,4729.38,2407597346
2025-02-19,4711.141,4837.635,4711.141,4834.665,2229362824
2025-02-20,4833.367,4862.418,4797.593,4838.887,2386414847
2025-02-21,4844.312,4939.63,4844.197,4927.07,2943917863
2025-02-24,4928.104,4942.327,4853.799,4894.333,2592328498
2025-02-25,4816.154,4898.307,4811.508,4842.714,2096124297
2025-02-26,4854.584,4916.382,4822.01,4893.281,2215837789
